RESPNO Urban/Rural "Views on Country's Economic Condition" "Discuss Politics?" Voted? Corruption Education
1150 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "No formal schooling" 
1151 Tribal "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
1152 Tribal "Fairly bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1153 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1154 Urban "Very good" Frequently "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
1155 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1156 Urban "Very good" Never "You voted in the elections" "Increased somewhat" "Primary school completed" 
1157 Urban "Don't know" Never "You decided not to vote" "Stayed the same" "Some secondary school / high school" 
1158 Urban "Very good" Never "You decided not to vote" "Don't know" "Some primary schooling" 
1159 Urban "Very bad" Never "You were not registered to vote" "Stayed the same" "Some primary schooling" 
1160 Urban "Very good" Never "You voted in the elections" "Don't know" "No formal schooling" 
1161 Tribal "Very bad" Never "You were not registered to vote" "Decreased somewhat" "Some primary schooling" 
1162 Tribal "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
1163 Tribal "Very bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1164 Tribal "Fairly bad" Frequently "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1165 Urban "Fairly Good" Occasionally "You were not registered to vote" "Increased somewhat" "Post-secondary qualifications, other than university" 
1166 Urban "Very bad" Occasionally "You were not registered to vote" "Increased a lot" "Some secondary school / high school" 
1167 Urban "Neither good nor bad" Occasionally "You could not find the polling station" "Increased a lot" "Post-secondary qualifications, other than university" 
1168 Urban "Neither good nor bad" Never "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
1169 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "University completed" 
1170 Tribal "Very bad" Never "You voted in the elections" "Increased somewhat" "No formal schooling" 
1171 Tribal "Neither good nor bad" Occasionally "You decided not to vote" "Increased somewhat" "Some primary schooling" 
1172 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1173 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1174 Urban "Very good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1175 Urban "Fairly Good" Occasionally "Don't Know / Can't remember" "Increased a lot" "Post-secondary qualifications, other than university" 
1176 Urban "Very good" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1177 Urban "Fairly Good" Occasionally "You were not registered to vote" "Increased somewhat" "Post-secondary qualifications, other than university" 
1178 Urban "Very good" Never "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
1179 Urban "Very good" Occasionally "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
1180 Urban "Neither good nor bad" Occasionally "You were not registered to vote" "Increased somewhat" "Post-secondary qualifications, other than university" 
1181 Urban "Neither good nor bad" Frequently "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
1182 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1183 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1184 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
1185 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1186 "Rural farm" "Neither good nor bad" Never "You decided not to vote" "Stayed the same" "Secondary school / high school completed" 
1187 "Rural farm" "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1188 Urban "Fairly Good" Never "You did not have time to vote" "Increased a lot" "Secondary school / high school completed" 
1189 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1190 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Primary school completed" 
1191 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1192 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1193 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
1194 Urban "Fairly Good" Occasionally "You did not have time to vote" "Stayed the same" "Some secondary school / high school" 
1195 Urban "Very bad" Never "You were too young to vote" "Stayed the same" "Some secondary school / high school" 
1196 Urban "Fairly Good" Frequently "You did not have time to vote" "Stayed the same" "Some secondary school / high school" 
1197 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1198 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1199 Urban "Fairly Good" Never "You did not have time to vote" "Increased a lot" "Secondary school / high school completed" 
1200 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1201 "Rural farm" "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "University completed" 
1202 "Rural farm" "Fairly Good" Never "Did not vote for some other reason" "Don't know" "Some secondary school / high school" 
1203 "Rural farm" "Very good" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
1204 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1205 Urban "Fairly Good" Occasionally "You did not vote because your name not in the register" "Stayed the same" "Secondary school / high school completed" 
1206 Urban "Very bad" Frequently "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
1207 Urban "Very good" Never "You voted in the elections" "Increased somewhat" "Some primary schooling" 
1208 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1209 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
1210 Urban "Fairly bad" Never "You decided not to vote" "Increased a lot" "University completed" 
1211 Urban "Fairly Good" Occasionally "You were not registered to vote" "Increased a lot" "University completed" 
1212 Urban "Fairly bad" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1213 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1214 Urban "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1215 Urban "Fairly bad" Never "You decided not to vote" "Increased somewhat" "Some secondary school / high school" 
1216 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1217 Urban "Very good" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
1218 Urban "Neither good nor bad" Occasionally "Did not vote for some other reason" "Decreased a lot" "Secondary school / high school completed" 
1219 Urban "Fairly Good" Never "You voted in the elections" "Decreased a lot" "Some secondary school / high school" 
1220 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
1221 Tribal "Very bad" Occasionally "You voted in the elections" "Decreased a lot" "Secondary school / high school completed" 
1222 Tribal "Very good" Frequently "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
1223 Tribal "Very good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1224 Tribal "Very good" Occasionally "You could not find the polling station" "Stayed the same" "Some secondary school / high school" 
1225 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
1226 Tribal "Very good" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1227 Tribal "Very bad" Occasionally "You voted in the elections" "Stayed the same" "Some primary schooling" 
1228 "Rural farm" "Fairly bad" Never "Did not vote for some other reason" "Increased somewhat" "Some secondary school / high school" 
1229 "Rural farm" "Very good" Never "You were not registered to vote" "Stayed the same" "Some secondary school / high school" 
1230 "Rural farm" "Fairly Good" Never "You did not have time to vote" "Decreased somewhat" "Some secondary school / high school" 
1231 "Rural farm" "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1232 Urban "Very bad" Never "You decided not to vote" "Don't know" "Some primary schooling" 
1233 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1234 Urban "Neither good nor bad" Never "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1235 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1236 Urban "Very bad" Never "You did not have time to vote" "Increased a lot" "Primary school completed" 
1237 Urban "Fairly bad" Frequently "You were not registered to vote" "Increased somewhat" "Some primary schooling" 
1238 Urban "Neither good nor bad" Occasionally "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
1239 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Some primary schooling" 
1240 Urban "Fairly Good" Never "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
1241 Urban "Fairly Good" Never "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
1242 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1243 Urban "Very bad" Never "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
1244 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1245 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1246 Urban "Very good" Never "You voted in the elections" "Decreased a lot" "Some secondary school / high school" 
1247 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1248 Urban "Very good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1249 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" Post-graduate 
1250 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Some university" 
1251 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1252 Urban "Fairly Good" Never "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
1253 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "University completed" 
1254 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
1255 Urban "Fairly Good" Never "You did not have time to vote" "Increased somewhat" "Secondary school / high school completed" 
1256 Urban "Neither good nor bad" Never "You did not have time to vote" "Increased a lot" "Secondary school / high school completed" 
1257 Urban "Fairly Good" Never "You were not registered to vote" "Increased a lot" "Some secondary school / high school" 
1258 Urban "Neither good nor bad" Frequently "You decided not to vote" "Increased somewhat" "University completed" 
1259 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1260 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1261 Urban "Very bad" Never "You were too young to vote" "Increased somewhat" "Secondary school / high school completed" 
1262 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1263 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1264 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1265 Urban "Very bad" Frequently "You decided not to vote" "Decreased a lot" "Some secondary school / high school" 
1266 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1267 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1268 Urban "Neither good nor bad" Never "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1269 Urban "Don't know" Never "You were not registered to vote" "Decreased a lot" "Post-secondary qualifications, other than university" 
1270 Urban "Fairly bad" Never "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1271 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1272 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
1273 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1274 Urban "Fairly Good" Frequently "You voted in the elections" "Don't know" "Some secondary school / high school" 
1275 Urban "Very good" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1276 "Rural farm" "Very bad" Never "You voted in the elections" "Decreased a lot" "Some secondary school / high school" 
1277 "Rural farm" "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1278 "Rural farm" "Fairly bad" Occasionally "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
1279 "Rural farm" "Fairly bad" Never "You were too young to vote" "Increased somewhat" "Some secondary school / high school" 
1280 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1281 Urban "Fairly bad" Frequently "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
1282 Urban "Very bad" Never "You decided not to vote" "Increased a lot" "University completed" 
1283 Urban "Very bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
1284 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1285 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Some primary schooling" 
1286 Urban "Fairly Good" Never "You were too young to vote" "Stayed the same" "Some secondary school / high school" 
1287 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1288 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1289 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1290 Urban "Fairly Good" Never "You decided not to vote" "Decreased somewhat" "Some secondary school / high school" 
1291 Urban "Fairly Good" Never "You voted in the elections" "Decreased a lot" "Primary school completed" 
1292 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1293 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1294 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1295 Urban "Very bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Some university" 
1296 Tribal "Very good" Never "Did not vote for some other reason" "Decreased a lot" "Some secondary school / high school" 
1297 Tribal "Very good" Frequently "You were not registered to vote" "Decreased somewhat" "Post-secondary qualifications, other than university" 
1298 Tribal "Fairly bad" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
1299 Tribal "Fairly bad" Never "Did not vote for some other reason" "Stayed the same" "Some secondary school / high school" 
1300 Urban "Neither good nor bad" Never "You voted in the elections" "Stayed the same" "Some primary schooling" 
1301 Urban "Neither good nor bad" Never "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
1302 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1303 Urban "Fairly bad" Never "You voted in the elections" "Decreased somewhat" "Secondary school / high school completed" 
1304 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1305 Urban "Very bad" Never "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
1306 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1307 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
1308 Urban "Fairly bad" Never "You decided not to vote" "Don't know" "Some secondary school / high school" 
1309 Urban "Very bad" Never "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
1310 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1311 Urban "Neither good nor bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1312 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
1313 Tribal "Very good" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1314 Tribal "Very bad" Occasionally "Did not vote for some other reason" "Decreased somewhat" "Some secondary school / high school" 
1315 Tribal "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1316 Urban "Fairly Good" Occasionally "You were too young to vote" "Stayed the same" "Secondary school / high school completed" 
1317 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Some university" 
1318 Urban "Fairly Good" Never "You were not registered to vote" "Increased a lot" "Primary school completed" 
1319 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1320 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1321 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1322 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1323 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
1324 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1325 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "No formal schooling" 
1326 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1327 Urban "Fairly bad" Occasionally "You did not vote because your name not in the register" "Increased a lot" "Some university" 
1328 Urban "Very good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1329 Urban "Neither good nor bad" Never "Did not vote for some other reason" "Increased a lot" "University completed" 
1330 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1331 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1332 Urban "Neither good nor bad" Never "You voted in the elections" "Decreased somewhat" "No formal schooling" 
1333 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
1334 Urban "Very bad" Frequently "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
1335 Urban "Fairly Good" Never "You voted in the elections" "Decreased somewhat" "Post-secondary qualifications, other than university" 
1336 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1337 Tribal "Very bad" Frequently "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1338 Tribal "Very bad" Never "You were not registered to vote" "Increased a lot" "Some secondary school / high school" 
1339 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1340 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1341 Tribal "Neither good nor bad" Never "You did not vote because your name not in the register" "Decreased somewhat" "Post-secondary qualifications, other than university" 
1342 Tribal "Very bad" Occasionally "Did not vote for some other reason" "Stayed the same" "Post-secondary qualifications, other than university" 
1343 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1344 Tribal "Very bad" Never "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
1345 Tribal "Fairly Good" Frequently "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
1346 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
1347 Tribal "Fairly bad" Never "You were too young to vote" "Stayed the same" "Some secondary school / high school" 
1348 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1349 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1350 Urban "Fairly bad" Never "Did not vote for some other reason" "Increased a lot" Post-graduate 
1351 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1352 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1353 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" Post-graduate 
1354 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1355 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1356 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1357 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1358 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1359 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1360 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1361 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1362 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased somewhat" "Post-secondary qualifications, other than university" 
1363 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1364 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1365 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1366 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1367 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1368 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1369 Urban "Fairly bad" Never "Did not vote for some other reason" "Stayed the same" "Some primary schooling" 
1370 Urban "Very bad" Never "You were too young to vote" "Increased somewhat" "Secondary school / high school completed" 
1371 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1372 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1373 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1374 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1375 Urban "Fairly bad" Occasionally "You were not registered to vote" "Increased a lot" "Some secondary school / high school" 
1376 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1377 Urban "Very bad" Occasionally "You were not registered to vote" "Increased a lot" "Some secondary school / high school" 
1378 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1379 Urban "Very bad" Never "You voted in the elections" "Decreased a lot" "Secondary school / high school completed" 
1380 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1381 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1382 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1383 Urban "Neither good nor bad" Occasionally "You decided not to vote" "Increased a lot" "Primary school completed" 
1384 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1385 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1386 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1387 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1388 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1389 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1390 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1391 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1392 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1393 Urban "Very bad" Frequently "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
1394 Urban "Fairly bad" Occasionally "Did not vote for some other reason" "Increased somewhat" "Secondary school / high school completed" 
1395 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1396 Urban "Neither good nor bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1397 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1398 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1399 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1400 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1401 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1402 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1403 Urban "Very bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
1404 Urban "Very bad" Never "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1405 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1406 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1407 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
1408 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1409 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1410 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1411 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1412 Urban "Fairly bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
1413 Urban "Very bad" Never "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1414 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1415 Urban "Fairly bad" Occasionally "You did not have time to vote" "Increased somewhat" "Post-secondary qualifications, other than university" 
1416 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1417 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1418 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1419 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1420 Urban "Neither good nor bad" Frequently "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1421 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1422 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1423 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" Post-graduate 
1424 Urban "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
1425 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1426 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1427 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1428 Urban "Very good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1429 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "University completed" 
1430 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1431 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1432 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1433 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1434 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1435 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1436 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
